lon,lat,SV_scaled_std,SV_unscaled_std,SV_scaled,Score,URBAN_RURA
68.85355958,38.55359832,4,5,-0.907800186,Middle,Urban
68.85213095,38.55440574,4,4,-0.869776036,Middle,Urban
68.80195261,38.57292198,3,3,-0.711340246,Middle,Urban
68.80139094,38.56330699,5,5,-1.110450538,Low,Urban
68.80331559,38.56097753,5,5,-1.041467451,Low,Urban
68.78573041,38.56959081,6,6,-1.092963534,Very Low,Urban
68.80302059,38.56125776,4,4,-0.88526434,Middle,Urban
68.80574252,38.55653349,4,4,-0.85079643,Middle,Urban
68.79900971,38.56106239,4,4,-0.923028465,Middle,Urban
68.81100335,38.56160194,5,5,-1.06439937,Low,Urban
68.81736705,38.56258607,6,6,-1.108400213,Very Low,Urban
68.82705561,38.55517021,3,4,-0.76410379,Middle,Urban
68.84767599,38.55355657,4,4,-0.878205946,Middle,Urban
68.7813184,38.63695371,4,4,-0.85491152,Middle,Urban
68.81106,38.54857,3,4,-0.755039862,Middle,Urban
68.78061174,38.63472169,4,4,-0.949414666,Middle,Urban
68.78713361,38.6042061,5,5,-1.031912961,Low,Urban
68.77856771,38.58741477,6,6,-1.152236776,Very Low,Urban
68.78961978,38.59307647,4,4,-0.951737437,Middle,Urban
68.79950444,38.59143425,4,4,-0.857271295,Middle,Urban
68.80155678,38.58695853,4,4,-0.87691935,Middle,Urban
68.79615358,38.58655196,5,5,-1.021106408,Low,Urban
68.7967446,38.57771723,6,6,-1.122256639,Very Low,Urban
68.77031078,38.62977149,4,4,-0.906594489,Middle,Urban
68.7642795,38.59204034,5,5,-1.047175993,Low,Urban
68.71512928,38.58024458,4,4,-0.975251697,Middle,Urban
68.71601586,38.5868053,3,3,-0.842524418,Middle,Urban
68.7226733,38.57426812,4,4,-0.897473521,Middle,Urban
68.71306098,38.57783953,4,4,-0.978168115,Middle,Urban
68.74012384,38.57193089,4,4,-0.94386218,Middle,Urban
68.74668377,38.59377894,5,5,-1.008986424,Low,Urban
68.74871925,38.58703473,5,5,-1.064305088,Low,Urban
68.75186292,38.59000865,5,6,-1.101771448,Low,Urban
68.75599428,38.57087572,5,5,-0.999302807,Low,Urban
68.73637076,38.5779722,5,5,-1.030342494,Low,Urban
68.74033867,38.57103741,4,4,-0.969712046,Middle,Urban
68.76889704,38.58175217,4,5,-0.987461796,Middle,Urban
68.76096666,38.55962657,5,5,-1.092770437,Low,Urban
68.76625728,38.55451369,5,5,-1.10658601,Low,Urban
68.75938118,38.55785384,5,6,-1.073204398,Low,Urban
68.74640272,38.57198977,5,5,-0.999265837,Low,Urban
68.75088275,38.55921012,5,5,-1.059916884,Low,Urban
68.75293107,38.55402576,3,3,-0.848999828,Middle,Urban
